Repo Name,Private,Language,Stars,Forks,Created At,Updated At,URL
scripts,False,Shell,0,0,2020-09-15T07:51:08Z,2020-09-15T08:36:45Z,https://github.com/kuslapur/scripts
sonarqube,False,Java,0,0,2021-12-09T17:55:16Z,2021-12-10T05:03:12Z,https://github.com/kuslapur/sonarqube
Terraform,False,HCL,0,0,2021-08-20T06:59:59Z,2025-12-23T16:24:55Z,https://github.com/kuslapur/Terraform
terraform-on-aws-ec2,False,,0,0,2021-07-30T08:41:46Z,2021-07-30T08:41:47Z,https://github.com/kuslapur/terraform-on-aws-ec2
Testweb,False,HTML,0,0,2021-11-12T09:42:30Z,2021-11-12T11:14:20Z,https://github.com/kuslapur/Testweb
tomcat,False,Dockerfile,0,0,2021-11-12T17:45:50Z,2021-11-12T18:15:22Z,https://github.com/kuslapur/tomcat
two-tierapp,False,,0,0,2026-03-02T10:51:02Z,2026-03-02T10:51:02Z,https://github.com/kuslapur/two-tierapp
vprofile-project,False,Java,0,0,2021-08-19T06:21:02Z,2021-11-13T09:15:08Z,https://github.com/kuslapur/vprofile-project
website,False,HTML,0,0,2021-06-09T15:32:27Z,2021-06-12T07:13:28Z,https://github.com/kuslapur/website
Web_Tomcat_C_Dockefile,False,Java,0,0,2021-11-18T18:53:30Z,2021-11-18T18:58:40Z,https://github.com/kuslapur/Web_Tomcat_C_Dockefile
WordpressDocker,False,,0,0,2021-07-30T08:09:22Z,2021-07-30T08:19:26Z,https://github.com/kuslapur/WordpressDocker
